Afghanistan,Both sexes,63.21
Afghanistan,Male,63.29
Afghanistan,Female,63.16
Albania,Both sexes,78
Albania,Male,76.25
Albania,Female,79.91
Algeria,Both sexes,77.13
Algeria,Male,76.23
Algeria,Female,78.12
Angola,Both sexes,63.06
Angola,Male,60.7
Angola,Female,65.52
Antigua and Barbuda,Both sexes,76.45
Antigua and Barbuda,Male,74.88
Antigua and Barbuda,Female,77.96
Argentina,Both sexes,76.58
Argentina,Male,73.51
Argentina,Female,79.5
Armenia,Both sexes,76.03
Armenia,Male,72.49
Armenia,Female,79.16
Australia,Both sexes,83.04
Australia,Male,81.25
Australia,Female,84.84
Austria,Both sexes,81.65
Austria,Male,79.44
Austria,Female,83.78
Azerbaijan,Both sexes,71.43
Azerbaijan,Male,68.78
Azerbaijan,Female,74.09
Bahamas,Both sexes,73.21
Bahamas,Male,69.85
Bahamas,Female,76.59
Bahrain,Both sexes,75.81
Bahrain,Male,75.04
Bahrain,Female,77.02
Bangladesh,Both sexes,74.25
Bangladesh,Male,72.99
Bangladesh,Female,75.64
Barbados,Both sexes,76.03
Barbados,Male,74.32
Barbados,Female,77.66
Belarus,Both sexes,74.81
Belarus,Male,69.65
Belarus,Female,79.62
Belgium,Both sexes,81.42
Belgium,Male,79.29
Belgium,Female,83.51
Belize,Both sexes,74.41
Belize,Male,71.36
Belize,Female,77.77
Benin,Both sexes,63.43
Benin,Male,61.19
Benin,Female,65.66
Bhutan,Both sexes,73.11
Bhutan,Male,72.03
Bhutan,Female,74.39
Bolivia,Both sexes,72.14
Bolivia,Male,71.15
Bolivia,Female,73.13
Bosnia and Herzegovina,Both sexes,76.75
Bosnia and Herzegovina,Male,74.38
Bosnia and Herzegovina,Female,79.09
Botswana,Both sexes,62.25
Botswana,Male,58.95
Botswana,Female,65.46
Brazil,Both sexes,75.9
Brazil,Male,72.45
Brazil,Female,79.39
Brunei Darussalam,Both sexes,74.32
Brunei Darussalam,Male,73.39
Brunei Darussalam,Female,75.36
Bulgaria,Both sexes,75.07
Bulgaria,Male,71.65
Bulgaria,Female,78.6
Burkina Faso,Both sexes,62.7
Burkina Faso,Male,60.06
Burkina Faso,Female,65.23
Burundi,Both sexes,63.84
Burundi,Male,61.55
Burundi,Female,66.14
Cabo Verde,Both sexes,74.03
Cabo Verde,Male,69.9
Cabo Verde,Female,77.94
Cambodia,Both sexes,70.12
Cambodia,Male,67.23
Cambodia,Female,72.75
Cameroon,Both sexes,62.36
Cameroon,Male,60.29
Cameroon,Female,64.5
Canada,Both sexes,82.24
Canada,Male,80.4
Canada,Female,84.05
Central African Republic,Both sexes,53.1
Central African Republic,Male,50.21
Central African Republic,Female,56.26
Chad,Both sexes,59.63
Chad,Male,57.95
Chad,Female,61.34
Chile,Both sexes,80.74
Chile,Male,78.09
Chile,Female,83.25
China,Both sexes,77.43
China,Male,74.73
China,Female,80.49
Colombia,Both sexes,79.31
Colombia,Male,76.69
Colombia,Female,81.87
Comoros,Both sexes,67.39
Comoros,Male,65.92
Comoros,Female,68.88
Congo (Brazzaville),Both sexes,64.74
Congo (Brazzaville),Male,63.81
Congo (Brazzaville),Female,65.61
Costa Rica,Both sexes,80.85
Costa Rica,Male,78.31
Costa Rica,Female,83.44
Côte d’Ivoire,Both sexes,62.92
Côte d’Ivoire,Male,60.53
Côte d’Ivoire,Female,65.81
Croatia,Both sexes,78.64
Croatia,Male,75.54
